metric,timestep,p,cliffs_delta
population,9600,8.045191499668344e-16,0.9646899049343595
population,10000,7.564544289611904e-16,0.9655952919873246
population,10400,4.900086610501795e-16,0.9719330013580806
population,10800,3.369154365637913e-16,0.9773653236758715
population,11200,3.5858338777096596e-16,0.9764599366229063
population,11600,2.791572198487378e-16,0.9800814848347669
population,12000,2.3851373978343345e-16,0.9823449524671797
population,12400,1.9135660259885437e-16,0.9855138071525578
population,12800,2.0386677254112777e-16,0.9846084200995926
population,13200,1.9140407068135227e-16,0.9855138071525578
population,13600,1.3083935104071246e-16,0.9909461294703485
population,14000,1.3093780766238205e-16,0.9909461294703485
population,14400,9.525249683106102e-17,0.9954730647351743
population,14800,1.1529162322415313e-16,0.9927569035762789
population,15200,8.934635231282261e-17,0.9963784517881394
population,15600,8.936900084374403e-17,0.9963784517881394
population,16000,6.919474842967349e-17,1.0
population,16400,6.919474842967349e-17,1.0
population,16800,6.917708632544009e-17,1.0
population,17200,6.919474842967349e-17,1.0
population,17600,6.921241478975378e-17,1.0
population,18000,6.923008540664507e-17,1.0
population,18400,6.919474842967349e-17,1.0
population,18800,6.915942847609331e-17,1.0
population,19200,6.923008540664507e-17,1.0
population,19600,6.923008540664507e-17,1.0
population,20000,6.923008540664507e-17,1.0
population,20400,6.917708632544009e-17,1.0
population,20800,6.919474842967349e-17,1.0
population,21200,6.921241478975378e-17,1.0
population,21600,6.921241478975378e-17,1.0
population,22000,6.919474842967349e-17,1.0
population,22400,6.921241478975378e-17,1.0
population,22800,6.923008540664507e-17,1.0
population,23200,6.919474842967349e-17,1.0
population,23600,6.921241478975378e-17,1.0
population,24000,6.919474842967349e-17,1.0
population,24400,6.915942847609331e-17,1.0
population,24800,6.919474842967349e-17,1.0
population,25200,6.921241478975378e-17,1.0
population,25600,6.921241478975378e-17,1.0
population,26000,6.921241478975378e-17,1.0
population,26400,6.919474842967349e-17,1.0
population,26800,6.919474842967349e-17,1.0
population,27200,6.917708632544009e-17,1.0
population,27600,6.921241478975378e-17,1.0
population,28000,6.921241478975378e-17,1.0
population,28400,6.921241478975378e-17,1.0
population,28800,6.921241478975378e-17,1.0
population,29200,6.917708632544009e-17,1.0
population,29600,6.914177488066902e-17,1.0
population,30000,6.923008540664507e-17,1.0
population,30400,6.919474842967349e-17,1.0
population,30800,6.921241478975378e-17,1.0
population,31200,6.921241478975378e-17,1.0
population,31600,6.923008540664507e-17,1.0
population,32000,6.923008540664507e-17,1.0
population,32400,6.90888396083186e-17,1.0
population,32800,6.921241478975378e-17,1.0
population,33200,6.915942847609331e-17,1.0
population,33600,6.923008540664507e-17,1.0
population,34000,6.917708632544009e-17,1.0
population,34400,6.919474842967349e-17,1.0
population,34800,6.921241478975378e-17,1.0
population,35200,6.919474842967349e-17,1.0
population,35600,6.917708632544009e-17,1.0
population,36000,6.921241478975378e-17,1.0
population,36400,6.917708632544009e-17,1.0
population,36800,6.919474842967349e-17,1.0
population,37200,6.915942847609331e-17,1.0
population,37600,6.923008540664507e-17,1.0
population,38000,6.921241478975378e-17,1.0
population,38400,6.915942847609331e-17,1.0
population,38800,6.914177488066902e-17,1.0
population,39200,6.917708632544009e-17,1.0
population,39600,6.921241478975378e-17,1.0
population,40000,6.914177488066902e-17,1.0
population,40400,6.917708632544009e-17,1.0
population,40800,6.917708632544009e-17,1.0
population,41200,6.915942847609331e-17,1.0
population,41600,6.917708632544009e-17,1.0
population,42000,6.917708632544009e-17,1.0
population,42400,6.917708632544009e-17,1.0
population,42800,6.919474842967349e-17,1.0
population,43200,6.915942847609331e-17,1.0
