metric,timestep,p,cliffs_delta
gene,142000,9.073400856319234e-06,0.9555555555555556
gene,142400,7.477207640048691e-06,0.9644444444444444
gene,142800,7.477207640048691e-06,0.9644444444444444
gene,143200,9.073400856319234e-06,0.9555555555555556
gene,143600,9.073400856319234e-06,0.9555555555555556
gene,144000,9.073400856319234e-06,0.9555555555555556
gene,144400,9.073400856319234e-06,0.9555555555555556
gene,144800,9.073400856319234e-06,0.9555555555555556
gene,145200,9.073400856319234e-06,0.9555555555555556
gene,145600,9.073400856319234e-06,0.9555555555555556
gene,146000,7.477207640048691e-06,0.9644444444444444
gene,146400,9.073400856319234e-06,0.9555555555555556
gene,146800,9.073400856319234e-06,0.9555555555555556
gene,147200,9.073400856319234e-06,0.9555555555555556
gene,147600,7.477207640048691e-06,0.9644444444444444
gene,148000,6.151638741096579e-06,0.9733333333333334
gene,148400,5.052703540469845e-06,0.9822222222222222
gene,148800,4.143220097537536e-06,0.9911111111111112
gene,149200,4.143220097537536e-06,0.9911111111111112
gene,149600,5.052703540469845e-06,0.9822222222222222
gene,150000,5.052703540469845e-06,0.9822222222222222
gene,150400,5.052703540469845e-06,0.9822222222222222
gene,150800,5.052703540469845e-06,0.9822222222222222
gene,151200,5.052703540469845e-06,0.9822222222222222
gene,151600,4.143220097537536e-06,0.9911111111111112
gene,152000,5.052703540469845e-06,0.9822222222222222
gene,152400,5.052703540469845e-06,0.9822222222222222
gene,152800,4.143220097537536e-06,0.9911111111111112
gene,153200,4.143220097537536e-06,0.9911111111111112
gene,153600,4.143220097537536e-06,0.9911111111111112
gene,154000,4.143220097537536e-06,0.9911111111111112
gene,154400,4.143220097537536e-06,0.9911111111111112
gene,154800,3.391821390825095e-06,1.0
gene,155200,4.143220097537536e-06,0.9911111111111112
gene,155600,3.391821390825095e-06,1.0
gene,156000,3.391821390825095e-06,1.0
gene,156400,3.391821390825095e-06,1.0
gene,156800,4.143220097537536e-06,0.9911111111111112
gene,157200,3.391821390825095e-06,1.0
gene,157600,3.391821390825095e-06,1.0
gene,158000,3.391821390825095e-06,1.0
gene,158400,3.391821390825095e-06,1.0
gene,158800,3.391821390825095e-06,1.0
gene,159200,3.391821390825095e-06,1.0
gene,159600,3.391821390825095e-06,1.0
gene,160000,3.391821390825095e-06,1.0
gene,160400,3.391821390825095e-06,1.0
gene,160800,3.391821390825095e-06,1.0
gene,161200,3.391821390825095e-06,1.0
gene,161600,3.391821390825095e-06,1.0
gene,162000,3.391821390825095e-06,1.0
gene,162400,3.391821390825095e-06,1.0
gene,162800,3.391821390825095e-06,1.0
gene,163200,3.391821390825095e-06,1.0
gene,163600,3.391821390825095e-06,1.0
gene,164000,3.391821390825095e-06,1.0
gene,164400,3.391821390825095e-06,1.0
gene,164800,3.391821390825095e-06,1.0
gene,165200,3.391821390825095e-06,1.0
gene,165600,3.391821390825095e-06,1.0
gene,166000,3.391821390825095e-06,1.0
gene,166400,3.391821390825095e-06,1.0
gene,166800,3.391821390825095e-06,1.0
gene,167200,3.391821390825095e-06,1.0
gene,167600,3.391821390825095e-06,1.0
gene,168000,3.391821390825095e-06,1.0
gene,168400,3.391821390825095e-06,1.0
gene,168800,3.391821390825095e-06,1.0
gene,169200,3.391821390825095e-06,1.0
gene,169600,3.391821390825095e-06,1.0
gene,170000,3.391821390825095e-06,1.0
gene,170400,3.391821390825095e-06,1.0
gene,170800,3.391821390825095e-06,1.0
gene,171200,3.391821390825095e-06,1.0
gene,171600,3.391821390825095e-06,1.0
gene,172000,3.391821390825095e-06,1.0
gene,172400,3.391821390825095e-06,1.0
gene,172800,3.391821390825095e-06,1.0
gene,173200,3.391821390825095e-06,1.0
gene,173600,3.391821390825095e-06,1.0
gene,174000,3.391821390825095e-06,1.0
gene,174400,3.391821390825095e-06,1.0
gene,174800,3.391821390825095e-06,1.0
gene,175200,3.391821390825095e-06,1.0
gene,175600,3.391821390825095e-06,1.0
gene,176000,3.391821390825095e-06,1.0
gene,176400,3.391821390825095e-06,1.0
gene,176800,3.391821390825095e-06,1.0
gene,177200,3.391821390825095e-06,1.0
gene,177600,3.391821390825095e-06,1.0
gene,178000,3.391821390825095e-06,1.0
gene,178400,3.391821390825095e-06,1.0
gene,178800,3.391821390825095e-06,1.0
gene,179200,3.391821390825095e-06,1.0
gene,179600,3.391821390825095e-06,1.0
gene,180000,3.391821390825095e-06,1.0
gene,180400,3.391821390825095e-06,1.0
gene,180800,3.391821390825095e-06,1.0
gene,181200,3.391821390825095e-06,1.0
gene,181600,3.391821390825095e-06,1.0
gene,182000,3.391821390825095e-06,1.0
gene,182400,3.391821390825095e-06,1.0
gene,182800,3.391821390825095e-06,1.0
gene,183200,3.391821390825095e-06,1.0
gene,183600,3.391821390825095e-06,1.0
gene,184000,3.391821390825095e-06,1.0
gene,184400,3.391821390825095e-06,1.0
gene,184800,3.391821390825095e-06,1.0
gene,185200,3.391821390825095e-06,1.0
gene,185600,3.391821390825095e-06,1.0
gene,186000,3.391821390825095e-06,1.0
gene,186400,3.391821390825095e-06,1.0
gene,186800,3.391821390825095e-06,1.0
gene,187200,3.391821390825095e-06,1.0
gene,187600,3.391821390825095e-06,1.0
gene,188000,3.391821390825095e-06,1.0
gene,188400,3.391821390825095e-06,1.0
gene,188800,3.391821390825095e-06,1.0
gene,189200,3.391821390825095e-06,1.0
gene,189600,3.391821390825095e-06,1.0
gene,190000,3.391821390825095e-06,1.0
gene,190400,3.391821390825095e-06,1.0
gene,190800,3.391821390825095e-06,1.0
gene,191200,3.391821390825095e-06,1.0
